audio_path,asr_transcript,original_text,mutated_text,index_tags,mutated_tags
data/del_audio_19769.wav,is clear that ther need action in these areas and without resources we the able meet these challenges,"It is clear that there is a need for action in these areas, and without resources, we will not be able to meet these challenges.","is clear that there need action in these areas, and without resources, we be able meet these challenges.","[1, 2, 3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 22, 23, 24]","['-', 'O', 'O', 'O', 'O', '-', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', '-', 'O', 'O', '-', 'O', 'O', 'O']"
data/del_audio_8885.wav,voted favour of in so far as it aspects of fundamental importance enabling a shift towards europe of the citizens and promoting development a european judicial culture,I voted in favour of the Berlinguer report insofar as it concerns aspects of fundamental importance for enabling a shift towards a Europe of the citizens and for promoting the development of a European judicial culture.,voted favour of insofar as it aspects of fundamental importance enabling a shift towards Europe of the citizens and promoting development a European judicial culture.,"[1, 3, 4, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 25, 26, 28, 30, 32, 33, 34, 35]","['-', 'O', '-', 'O', 'O', '-', '-', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O']"
data/del_audio_829.wav,we my report that we needed much better access to the korean agricultural market,"Firstly, we said in my report that we needed much better access to the Korean agricultural market.",we my report that we needed much better access to the Korean agricultural market.,"[1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","['-', 'O', '-', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_6897.wav,with regard to parliament has accused on the areas the sanitarian standards and expressed for effective clauses,"With regard to agriculture, Parliament has focused on the sensitive areas, highlighted the sanitary and phytosanitary standards (SPS) and expressed its support for effective safeguard clauses.","With regard to Parliament has focused on the areas, the sanitary and standards (SPS) and expressed for effective clauses.","[0, 1, 2, 4, 5, 6, 7, 8, 10, 12, 13, 14, 16, 17, 18, 19, 22, 23, 25]","['O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', '-', '-', 'O', 'O', '-', 'O']"
data/del_audio_4034.wav,we are entering the aro of sustainable growth this industrial revolution is a great asset for research innovation employment and competitiveness in our businesses,"We are entering the era of sustainable growth, this third industrial revolution which is a great asset for research, innovation, employment and competitiveness in our businesses.","We are entering the era of sustainable growth, this industrial revolution is a great asset for research, innovation, employment and competitiveness in our businesses.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_13863.wav,i would like this opportunity to out that member states of the european union should set into other countries and to our neighbours and should take care that the rights of minorities in our member states respect,"I would like to take this opportunity to point out that Member States of the European Union should set an example to other countries and to our neighbours, and should take care that the rights of national minorities in our Member States are fully respected.","I would like this opportunity to out that Member States of the European Union should set an to other countries and to our neighbours, and should take care that the rights of minorities in our Member States respected.","[0, 1, 2, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 44]","['O', 'O', 'O', '-', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', '-', 'O']"
data/del_audio_8385.wav,for this we should use of military capabilities with an emphasis soft power anto tackle a new agenda one had already existed but which became clear and munic president obamo's,"For this reason, we should use our vision of military capabilities with an emphasis on soft power and prevention to tackle a new agenda, one that had already existed, but which became clear in Munich, for President Obama's policies make it possible for us to enter a new era of disarmament negotiations.","For this we should use of military capabilities with an emphasis soft power and to tackle a new agenda, one had already existed, but which became clear in Munich, President Obama's policies it possible for us to enter a new era of disarmament negotiations.","[0, 1, 3, 4, 5, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]","['O', 'O', '-', 'O', 'O', 'O', '-', '-', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_2763.wav,secondly what is happening about estonia,"Secondly, what is happening about Estonia?","Secondly, what is happening about Estonia?","[0, 1, 2, 3, 4, 5]","['O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_4039.wav,efforts of the commission in addressing them we ar stronger more coordinated and into effective,"I appreciate the efforts of the Commission in addressing them, but I think we need a stronger, more coordinated and holistic approach in order to be effective.","I the efforts of the Commission in addressing them, we a stronger, more coordinated and in to effective.","[0, 2, 3, 4, 5, 6, 7, 8, 9, 13, 15, 16, 17, 18, 19, 22, 24, 26]","['O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', '-', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', '-', 'O', '-', 'O', '-', 'O']"
data/del_audio_9740.wav,their nature such activities do not qualify as development,"By their nature, such activities do not qualify as development assistance.","their nature, such activities do not qualify as development","[1, 2, 3, 4, 5, 6, 7, 8, 9]","['-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-']"
